T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1304	0.0000	0.0000	45.0000	55.0000	739554.623986
0.2472	0.0000	0.0000	45.0000	55.0000	739554.623986
0.3638	0.0000	0.0000	45.0000	55.0000	739554.623986
0.4639	0.0000	0.0000	45.0000	55.0000	739554.623986
0.5807	0.0000	0.0000	49.8800	55.0000	739554.623986
0.6973	0.0000	0.0000	58.4200	55.0000	739554.623986
0.7975	0.0000	0.0000	65.7400	55.0000	739554.623986
0.8976	0.0000	0.0000	73.0600	55.0000	739554.623986
1.0145	0.0000	0.0000	76.7200	55.0000	739554.623986
1.1310	0.0000	0.0000	76.7200	55.0000	739554.623986
1.2312	-0.0230	0.0973	76.7200	55.0000	739554.623986
1.3314	-0.0505	0.2141	76.7200	55.0000	739554.623986
1.4480	-0.0827	0.3504	76.7200	55.0000	739554.623986
1.5482	-0.1199	0.4339	76.7200	55.0000	739554.623986
1.6483	-0.1474	0.5507	76.7200	55.0000	739554.623986
1.7650	-0.1796	0.6870	76.7200	55.0000	739554.623986
1.8652	-0.2072	0.8038	76.7200	55.0000	739554.623986
1.9818	-0.2393	0.9400	76.7200	55.0000	739554.623986
2.0987	-0.2715	1.0763	76.7200	55.0000	739554.623986
2.2154	-0.3049	1.2122	74.2800	55.0000	739554.623986
2.3322	-0.3541	1.3431	65.7400	55.0000	739554.623986
2.4324	-0.4114	1.4485	58.4200	55.0000	739554.623986
2.5490	-0.4945	1.5610	49.8800	55.0000	739554.623986
2.6493	-0.5718	1.6528	49.8800	55.0000	739554.623986
2.7659	-0.6620	1.7598	49.8800	55.0000	739554.623986
2.8662	-0.7136	1.8210	49.8800	55.0000	739554.623986
2.9827	-0.7136	1.8210	57.2000	55.0000	739554.623986
3.0828	-0.7136	1.8210	64.5200	55.0000	739554.623986
3.1830	-0.7136	1.8210	68.1800	55.0000	739554.623986
3.2997	-0.7136	1.8210	68.1800	55.0000	739554.623986
3.3998	-0.7136	1.8210	68.1800	55.0000	739554.623986
3.4999	-0.7136	1.8210	64.5200	55.0000	739554.623986
3.6001	-0.7136	1.8210	57.2000	55.0000	739554.623986
3.7167	-0.7136	1.8210	48.6600	55.0000	739554.623986
3.8335	-0.7136	1.8210	40.1200	55.0000	739554.623986
3.9336	-0.7136	1.8210	32.8000	55.0000	739554.623986
4.0504	-0.7136	1.8210	24.2600	55.0000	739554.623986
4.1505	-0.7136	1.8210	16.9400	55.0000	739554.623986
4.2507	-0.7136	1.8210	15.7200	55.0000	739554.623986
4.3673	-0.7714	1.8372	15.7200	55.0000	739554.623986
4.4676	-0.8869	1.8698	15.7200	55.0000	739554.623986
4.5841	-1.0216	1.9077	15.7200	55.0000	739554.623986
4.6842	-1.1371	1.9402	15.7200	55.0000	739554.623986
4.8011	-1.2719	1.9781	15.7200	55.0000	739554.623986
4.9179	-1.4067	2.0161	15.7200	55.0000	739554.623986
5.0345	-1.5414	2.0540	15.7200	55.0000	739554.623986
5.1347	-1.6569	2.0865	15.7200	55.0000	739554.623986
5.2514	-1.7917	2.1244	15.7200	55.0000	739554.623986
5.3516	-1.9072	2.1570	15.7200	55.0000	739554.623986
5.4684	-2.0446	2.1833	7.1800	55.0000	739554.623986
5.5685	-2.1643	2.1919	3.5200	55.0000	739554.623986
5.6851	-2.3040	2.2005	3.5200	55.0000	739554.623986
5.7853	-2.4038	2.2066	3.5200	55.0000	739554.623986
5.9020	-2.4038	2.2066	5.9600	55.0000	739554.623986
6.0022	-2.4038	2.2066	13.2800	55.0000	739554.623986
6.1188	-2.4038	2.2066	20.6000	55.0000	739554.623986
6.2190	-2.4038	2.2066	20.6000	55.0000	739554.623986
6.3357	-2.4600	2.2277	20.6000	55.0000	739554.623986
6.4358	-2.5723	2.2700	20.6000	55.0000	739554.623986
6.5525	-2.7034	2.3192	20.6000	55.0000	739554.623986
6.6527	-2.8157	2.3614	20.6000	55.0000	739554.623986
6.7695	-2.9472	2.4095	18.1600	55.0000	739554.623986
6.8862	-3.0833	2.4416	9.6200	55.0000	739554.623986
6.9863	-3.2027	2.4528	2.3000	55.0000	739554.623986
7.1031	-3.3427	2.4508	-1.3600	55.0000	739554.623986
7.2198	-3.4826	2.4474	-1.3600	55.0000	739554.623986
7.3201	-3.6026	2.4446	-1.3600	55.0000	739554.623986
7.4367	-3.7425	2.4413	-1.3600	55.0000	739554.623986
7.5535	-3.8825	2.4379	-1.3600	55.0000	739554.623986
7.6536	-4.0025	2.4351	-1.3600	55.0000	739554.623986
7.7537	-4.1224	2.4323	-1.3600	55.0000	739554.623986
7.8538	-4.2424	2.4294	-1.3600	55.0000	739554.623986
7.9705	-4.3824	2.4261	-1.3600	55.0000	739554.623986
8.0706	-4.5023	2.4245	1.0800	55.0000	739554.623986
8.1707	-4.6217	2.4357	8.4000	55.0000	739554.623986
8.2709	-4.7387	2.4620	15.7200	55.0000	739554.623986
8.3876	-4.8697	2.5112	24.2600	55.0000	739554.623986
8.4877	-4.9763	2.5663	27.9200	55.0000	739554.623986
8.6044	-5.0481	2.6014	20.6000	55.0000	739554.623986
8.7045	-5.0481	2.6014	13.2800	55.0000	739554.623986
8.8047	-5.0481	2.6014	5.9600	55.0000	739554.623986
8.9213	-5.0481	2.6014	-2.5800	55.0000	739554.623986
