T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1048	0.0000	0.0000	45.0000	55.0000	739550.419901
0.2190	0.0000	0.0000	45.0000	55.0000	739550.419901
0.3276	0.0000	0.0000	45.0000	55.0000	739550.419901
0.4280	0.0000	0.0000	45.0000	55.0000	739550.419901
0.5444	0.0000	0.0000	45.0000	55.0000	739550.419901
0.6445	0.0000	0.0000	45.0000	55.0000	739550.419901
0.7610	0.0000	0.0000	45.0000	55.0000	739550.419901
0.8782	0.0000	0.0000	45.0000	55.0000	739550.419901
0.9944	0.0000	0.0000	45.0000	55.0000	739550.419901
1.0946	0.0000	0.0000	45.0000	55.0000	739550.419901
1.2111	0.0000	0.0000	45.0000	55.0000	739550.419901
1.3287	0.0000	0.0000	45.0000	55.0000	739550.419901
1.4445	0.0000	0.0000	45.0000	55.0000	739550.419901
1.5617	0.0000	0.0000	38.9000	55.0000	739550.419901
1.6776	0.0000	0.0000	30.3600	55.0000	739550.419901
1.7777	0.0000	0.0000	29.1400	55.0000	739550.419901
1.8943	0.0000	0.0000	29.1400	55.0000	739550.419901
2.0115	0.0175	-0.0097	29.1400	55.0000	739550.419901
2.1276	0.1397	-0.0779	29.1400	55.0000	739550.419901
2.2281	0.1980	-0.1013	29.1400	55.0000	739550.419901
2.3444	0.2115	-0.0878	29.1400	55.0000	739550.419901
2.4445	0.2231	-0.0762	29.1400	55.0000	739550.419901
2.5622	0.2366	-0.0627	29.1400	55.0000	739550.419901
2.6778	0.2443	-0.0550	29.1400	55.0000	739550.419901
2.7945	0.2443	-0.0550	29.1400	55.0000	739550.419901
2.9109	0.2443	-0.0550	29.1400	55.0000	739550.419901
3.0112	0.2443	-0.0550	29.1400	55.0000	739550.419901
3.1114	0.2443	-0.0550	29.1400	55.0000	739550.419901
3.2115	0.2443	-0.0550	29.1400	55.0000	739550.419901
3.3280	0.2443	-0.0550	29.1400	55.0000	739550.419901
3.4281	0.2443	-0.0550	35.2400	55.0000	739550.419901
3.5447	0.2443	-0.0550	43.7800	55.0000	739550.419901
3.6614	0.2443	-0.0550	52.3200	55.0000	739550.419901
3.7783	0.2443	-0.0550	60.8600	55.0000	739550.419901
3.8946	0.2443	-0.0550	69.4000	55.0000	739550.419901
3.9947	0.2443	-0.0550	76.7200	55.0000	739550.419901
4.1115	0.2443	-0.0550	85.2600	55.0000	739550.419901
4.2281	0.2443	-0.0550	90.1400	55.0000	739550.419901
4.3285	0.2443	-0.0550	90.1400	55.0000	739550.419901
4.4445	0.2443	-0.0550	81.6000	55.0000	739550.419901
4.5614	0.2443	-0.0550	73.0600	55.0000	739550.419901
4.6780	0.2443	-0.0550	64.5200	55.0000	739550.419901
4.7782	0.2443	-0.0550	57.2000	55.0000	739550.419901
4.8947	0.2443	-0.0550	54.7600	55.0000	739550.419901
5.0113	0.2097	-0.0059	54.7600	55.0000	739550.419901
5.1117	0.1405	0.0921	54.7600	55.0000	739550.419901
5.2280	0.0597	0.2064	54.7600	55.0000	739550.419901
5.3445	-0.0211	0.3207	54.7600	55.0000	739550.419901
5.4447	-0.0807	0.3927	54.7600	55.0000	739550.419901
5.5448	-0.1500	0.4907	54.7600	55.0000	739550.419901
5.6614	-0.2077	0.5724	54.7600	55.0000	739550.419901
