T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1093	0.0000	0.0000	45.0000	55.0000	739696.710641
0.2180	0.0000	0.0000	45.0000	55.0000	739696.710641
0.3212	0.0000	0.0000	45.0000	55.0000	739696.710641
0.4346	0.0000	0.0000	45.0000	55.0000	739696.710641
0.5516	0.0000	0.0000	45.0000	55.0000	739696.710641
0.6524	0.0000	0.0000	45.0000	55.0000	739696.710641
0.7679	0.0000	0.0000	45.0000	55.0000	739696.710641
0.8844	0.0000	0.0000	45.0000	55.0000	739696.710641
0.9845	0.0000	0.0000	45.0000	55.0000	739696.710641
1.1013	-0.0990	0.0990	45.0000	55.0000	739696.710641
1.2179	-0.1980	0.1980	45.0000	55.0000	739696.710641
1.3347	-0.2970	0.2970	45.0000	55.0000	739696.710641
1.4512	-0.3544	0.3526	38.9000	55.0000	739696.710641
1.5513	-0.3544	0.3526	31.5800	55.0000	739696.710641
1.6680	-0.3544	0.3526	23.0400	55.0000	739696.710641
1.7845	-0.3544	0.3526	14.5000	55.0000	739696.710641
1.9015	-0.3544	0.3526	5.9600	55.0000	739696.710641
2.0180	-0.3544	0.3526	-2.5800	55.0000	739696.710641
2.1372	-0.4738	0.3400	-6.2400	55.0000	739696.710641
2.2531	-0.6129	0.3248	-6.2400	55.0000	739696.710641
2.3678	-0.7521	0.3096	-6.2400	55.0000	739696.710641
2.4697	-0.8714	0.2965	-6.2400	55.0000	739696.710641
2.5845	-1.0106	0.2813	-6.2400	55.0000	739696.710641
2.6863	-1.1299	0.2683	-6.2400	55.0000	739696.710641
2.8011	-1.2691	0.2543	-3.8000	55.0000	739696.710641
2.9031	-1.3891	0.2553	3.5200	55.0000	739696.710641
3.0198	-1.5274	0.2757	12.0600	55.0000	739696.710641
3.1200	-1.6437	0.3054	14.5000	55.0000	739696.710641
3.2362	-1.7793	0.3404	14.5000	55.0000	739696.710641
3.3372	-1.8954	0.3705	14.5000	55.0000	739696.710641
3.4539	-2.0310	0.4055	14.5000	55.0000	739696.710641
3.5678	-2.1665	0.4406	14.5000	55.0000	739696.710641
3.6696	-2.2827	0.4706	14.5000	55.0000	739696.710641
3.7698	-2.3989	0.5007	14.5000	55.0000	739696.710641
3.8863	-2.5344	0.5357	14.5000	55.0000	739696.710641
4.0014	-2.6700	0.5708	14.5000	55.0000	739696.710641
4.1028	-2.7861	0.6008	14.5000	55.0000	739696.710641
4.2196	-2.8629	0.6233	21.8200	55.0000	739696.710641
4.3345	-2.8629	0.6233	30.3600	55.0000	739696.710641
4.4363	-2.8629	0.6233	37.6800	55.0000	739696.710641
4.5511	-2.8629	0.6233	46.2200	55.0000	739696.710641
4.6532	-2.8629	0.6233	53.5400	55.0000	739696.710641
4.7677	-2.8629	0.6233	62.0800	55.0000	739696.710641
4.8679	-2.8629	0.6233	69.4000	55.0000	739696.710641
4.9696	-2.8629	0.6233	76.7200	55.0000	739696.710641
5.0845	-2.8629	0.6233	85.2600	55.0000	739696.710641
5.1876	-2.8629	0.6233	86.4800	55.0000	739696.710641
5.3029	-2.8629	0.6233	86.4800	55.0000	739696.710641
5.4197	-2.8702	0.7431	86.4800	55.0000	739696.710641
5.5346	-2.8782	0.8629	86.4800	55.0000	739696.710641
5.6363	-2.8819	0.8629	86.4800	55.0000	739696.710641
5.7513	-2.8862	0.8629	86.4800	55.0000	739696.710641
5.8528	-2.8899	0.8629	86.4800	55.0000	739696.710641
5.9530	-2.8936	0.8629	86.4800	55.0000	739696.710641
6.0696	-2.8979	0.8629	86.4800	55.0000	739696.710641
6.1696	-2.9028	0.8629	82.8200	55.0000	739696.710641
6.2863	-2.9028	0.8629	74.2800	55.0000	739696.710641
6.4014	-2.9028	0.8629	65.7400	55.0000	739696.710641
6.5029	-2.9028	0.8629	58.4200	55.0000	739696.710641
6.6196	-2.9028	0.8629	49.8800	55.0000	739696.710641
6.7345	-2.9028	0.8629	41.3400	55.0000	739696.710641
6.8363	-2.9028	0.8629	34.0200	55.0000	739696.710641
6.9511	-2.9028	0.8629	25.4800	55.0000	739696.710641
7.0512	-2.9028	0.8629	18.1600	55.0000	739696.710641
7.1530	-2.9028	0.8629	10.8400	55.0000	739696.710641
7.2680	-2.9028	0.8629	2.3000	55.0000	739696.710641
7.3694	-2.9028	0.8629	-5.0200	55.0000	739696.710641
7.4865	-2.9028	0.8629	-13.5600	55.0000	739696.710641
7.6030	-2.9028	0.8629	-22.1000	55.0000	739696.710641
7.7178	-2.9028	0.8629	-30.6400	55.0000	739696.710641
7.8196	-2.9028	0.8629	-37.9600	55.0000	739696.710641
