T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1119	0.0000	0.0000	37.5000	55.0000	739570.462293
0.2298	0.0000	0.0000	28.7500	55.0000	739570.462293
0.3455	0.0000	0.0000	18.7500	55.0000	739570.462293
0.4455	-0.1733	0.0485	15.0000	55.0000	739570.462293
0.5620	-0.3762	0.1028	15.0000	55.0000	739570.462293
0.6624	-0.5500	0.1494	15.0000	55.0000	739570.462293
0.7787	-0.7529	0.2038	15.0000	55.0000	739570.462293
0.8790	-0.9267	0.2504	15.0000	55.0000	739570.462293
0.9791	-1.1006	0.2969	15.0000	55.0000	739570.462293
1.0956	-1.3035	0.3513	15.0000	55.0000	739570.462293
1.2121	-1.5063	0.4056	15.0000	55.0000	739570.462293
1.3288	-1.7080	0.4638	18.7500	55.0000	739570.462293
1.4454	-1.9001	0.5483	27.5000	55.0000	739570.462293
1.5456	-2.0528	0.6432	35.0000	55.0000	739570.462293
1.6621	-2.2135	0.7781	43.7500	55.0000	739570.462293
1.7786	-2.3519	0.9358	52.5000	55.0000	739570.462293
1.8954	-2.4646	1.1128	61.2500	55.0000	739570.462293
2.0119	-2.5491	1.3048	70.0000	55.0000	739570.462293
2.1123	-2.5975	1.4780	77.5000	55.0000	739570.462293
2.2291	-2.6249	1.6860	86.2500	55.0000	739570.462293
2.3454	-2.6243	1.8960	91.2500	55.0000	739570.462293
2.4618	-2.6197	2.1059	91.2500	55.0000	739570.462293
2.5625	-2.6158	2.2859	91.2500	55.0000	739570.462293
2.6785	-2.6112	2.4958	91.2500	55.0000	739570.462293
2.7786	-2.6072	2.6758	91.2500	55.0000	739570.462293
2.8953	-2.6027	2.8857	91.2500	55.0000	739570.462293
2.9954	-2.5987	3.0657	91.2500	55.0000	739570.462293
3.0956	-2.5948	3.2457	91.2500	55.0000	739570.462293
3.2122	-2.5902	3.4556	91.2500	55.0000	739570.462293
3.3123	-2.5883	3.6356	88.7500	55.0000	739570.462293
3.4289	-2.5942	3.7254	80.0000	55.0000	739570.462293
3.5290	-2.6116	3.7828	72.5000	55.0000	739570.462293
3.6293	-2.6786	3.9497	65.0000	55.0000	739570.462293
3.7461	-2.7835	4.1314	56.2500	55.0000	739570.462293
3.8621	-2.9148	4.2950	47.5000	55.0000	739570.462293
3.9623	-3.0461	4.4180	40.0000	55.0000	739570.462293
4.0790	-3.2179	4.5383	31.2500	55.0000	739570.462293
4.1956	-3.4061	4.6311	22.5000	55.0000	739570.462293
4.2958	-3.5771	4.6871	15.0000	55.0000	739570.462293
4.4124	-3.7837	4.7235	6.2500	55.0000	739570.462293
4.5289	-3.9934	4.7281	-2.5000	55.0000	739570.462293
4.6456	-4.2014	4.7007	-11.2500	55.0000	739570.462293
4.7622	-4.4029	4.6420	-20.0000	55.0000	739570.462293
4.8788	-4.5930	4.5533	-28.7500	55.0000	739570.462293
4.9789	-4.7436	4.4550	-36.2500	55.0000	739570.462293
5.0956	-4.8585	4.3377	-45.0000	55.0000	739570.462293
5.1957	-4.8585	4.2694	-52.5000	55.0000	739570.462293
5.3128	-4.8746	4.1683	-61.2500	55.0000	739570.462293
5.4290	-4.8746	4.0723	-70.0000	55.0000	739570.462293
5.5459	-4.8746	3.9709	-78.7500	55.0000	739570.462293
5.6623	-4.8746	3.8667	-87.5000	55.0000	739570.462293
5.7624	-4.8681	3.7019	-95.0000	55.0000	739570.462293
5.8790	-4.8316	3.4953	-103.7500	55.0000	739570.462293
5.9957	-4.7704	3.2944	-107.5000	55.0000	739570.462293
6.1123	-4.7471	3.2075	-98.7500	55.0000	739570.462293
6.2293	-4.7471	3.2075	-90.0000	55.0000	739570.462293
6.3457	-4.7471	3.2075	-81.2500	55.0000	739570.462293
6.4458	-4.7471	3.2075	-73.7500	55.0000	739570.462293
6.5623	-4.7833	3.1251	-65.0000	55.0000	739570.462293
6.6787	-4.8882	2.9435	-56.2500	55.0000	739570.462293
6.7791	-4.9780	2.8117	-48.7500	55.0000	739570.462293
6.8956	-5.1295	2.6666	-40.0000	55.0000	739570.462293
7.0122	-5.3014	2.5463	-31.2500	55.0000	739570.462293
7.1124	-5.4618	2.4650	-23.7500	55.0000	739570.462293
7.2288	-5.6605	2.3976	-15.0000	55.0000	739570.462293
7.3289	-5.8373	2.3644	-7.5000	55.0000	739570.462293
7.4290	-5.8373	2.3644	0.0000	55.0000	739570.462293
7.5292	-5.8373	2.3644	7.5000	55.0000	739570.462293
7.6457	-5.8373	2.3644	16.2500	55.0000	739570.462293
7.7625	-5.8373	2.3644	25.0000	55.0000	739570.462293
7.8789	-5.8373	2.3644	33.7500	55.0000	739570.462293
7.9813	-5.8373	2.3644	41.2500	55.0000	739570.462293
8.0957	-5.8373	2.3644	50.0000	55.0000	739570.462293
8.2122	-5.8373	2.3644	58.7500	55.0000	739570.462293
8.3289	-5.8373	2.3644	67.5000	55.0000	739570.462293
8.4455	-5.8681	2.5067	76.2500	55.0000	739570.462293
8.5457	-5.8746	2.6101	83.7500	55.0000	739570.462293
8.6624	-5.8726	2.7600	92.5000	55.0000	739570.462293
8.7791	-5.8452	2.9680	101.2500	55.0000	739570.462293
8.8958	-5.8042	3.1739	101.2500	55.0000	739570.462293
8.9963	-5.7691	3.3505	101.2500	55.0000	739570.462293
9.1123	-5.7282	3.5564	101.2500	55.0000	739570.462293
