T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1307	0.0000	0.0000	45.0000	55.0000	739554.623986
0.2474	0.0000	0.0000	45.0000	55.0000	739554.623986
0.3475	0.0000	0.0000	45.0000	55.0000	739554.623986
0.4476	0.0000	0.0000	45.0000	55.0000	739554.623986
0.5643	0.0000	0.0000	45.0000	55.0000	739554.623986
0.6810	0.0000	0.0000	45.0000	55.0000	739554.623986
0.7812	0.0000	0.0000	45.0000	55.0000	739554.623986
0.8813	0.0000	0.0000	45.0000	55.0000	739554.623986
0.9979	0.0000	0.0000	45.0000	55.0000	739554.623986
1.0980	0.0000	0.0000	45.0000	55.0000	739554.623986
1.2148	0.0000	0.0000	45.0000	55.0000	739554.623986
1.3315	0.0000	0.0000	45.0000	55.0000	739554.623986
1.4317	0.0000	0.0000	45.0000	55.0000	739554.623986
1.5485	0.0000	0.0000	37.6800	55.0000	739554.623986
1.6653	0.0000	0.0000	29.1400	55.0000	739554.623986
1.7820	0.0000	0.0000	29.1400	55.0000	739554.623986
1.8987	0.0000	0.0000	29.1400	55.0000	739554.623986
2.0154	0.0000	0.0000	34.0200	55.0000	739554.623986
2.1156	0.0000	0.0000	41.3400	55.0000	739554.623986
2.2324	0.0000	0.0000	46.2200	55.0000	739554.623986
2.3491	0.0000	0.0000	46.2200	55.0000	739554.623986
2.4493	0.0000	0.0000	45.0000	55.0000	739554.623986
2.5660	0.0000	0.0000	36.4600	55.0000	739554.623986
2.6661	0.0000	0.0000	29.1400	55.0000	739554.623986
2.7662	0.0000	0.0000	21.8200	55.0000	739554.623986
2.8663	0.0000	0.0000	18.1600	55.0000	739554.623986
2.9664	-0.0190	0.0062	18.1600	55.0000	739554.623986
3.0831	-0.1520	0.0499	18.1600	55.0000	739554.623986
3.1832	-0.2661	0.0873	18.1600	55.0000	739554.623986
3.2833	-0.3801	0.1247	18.1600	55.0000	739554.623986
3.4001	-0.5131	0.1683	18.1600	55.0000	739554.623986
3.5002	-0.6271	0.2057	18.1600	55.0000	739554.623986
3.6168	-0.7602	0.2493	18.1600	55.0000	739554.623986
3.7170	-0.8766	0.2781	10.8400	55.0000	739554.623986
3.8337	-1.0146	0.3015	9.6200	55.0000	739554.623986
3.9505	-1.1526	0.3249	9.6200	55.0000	739554.623986
4.0507	-1.2709	0.3450	9.6200	55.0000	739554.623986
4.1675	-1.4090	0.3684	9.6200	55.0000	739554.623986
4.2842	-1.5470	0.3918	9.6200	55.0000	739554.623986
4.3843	-1.6653	0.4118	9.6200	55.0000	739554.623986
4.4844	-1.7836	0.4319	9.6200	55.0000	739554.623986
4.5845	-1.9019	0.4519	9.6200	55.0000	739554.623986
4.7011	-2.0400	0.4753	9.6200	55.0000	739554.623986
4.8013	-2.1583	0.4954	9.6200	55.0000	739554.623986
4.9014	-2.2766	0.5154	9.6200	55.0000	739554.623986
5.0014	-2.3949	0.5355	9.6200	55.0000	739554.623986
5.1019	-2.5132	0.5555	9.6200	55.0000	739554.623986
5.2035	-2.6315	0.5756	9.6200	55.0000	739554.623986
5.3184	-2.7696	0.5990	9.6200	55.0000	739554.623986
5.4184	-2.8879	0.6190	9.6200	55.0000	739554.623986
5.5186	-3.0043	0.6478	16.9400	55.0000	739554.623986
5.6187	-3.0422	0.6607	24.2600	55.0000	739554.623986
5.7188	-3.0422	0.6607	31.5800	55.0000	739554.623986
5.8355	-3.0422	0.6607	40.1200	55.0000	739554.623986
