T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1100	0.0000	0.0000	45.0000	55.0000	739584.393890
0.2117	0.0000	0.0000	45.0000	55.0000	739584.393890
0.3167	-0.0566	0.0566	45.0000	55.0000	739584.393890
0.4170	-0.1414	0.1414	45.0000	55.0000	739584.393890
0.5335	-0.2404	0.2404	45.0000	55.0000	739584.393890
0.6336	-0.3253	0.3253	45.0000	55.0000	739584.393890
0.7500	-0.4243	0.4243	45.0000	55.0000	739584.393890
0.8502	-0.5091	0.5091	45.0000	55.0000	739584.393890
0.9503	-0.5940	0.5940	45.0000	55.0000	739584.393890
1.0667	-0.6930	0.6930	45.0000	55.0000	739584.393890
1.1669	-0.7778	0.7778	45.0000	55.0000	739584.393890
1.2835	-0.8702	0.8828	52.3200	55.0000	739584.393890
1.3836	-0.9362	0.9829	59.6400	55.0000	739584.393890
1.5003	-1.0022	1.1064	62.0800	55.0000	739584.393890
1.6169	-1.0677	1.2301	62.0800	55.0000	739584.393890
1.7335	-1.1333	1.3538	62.0800	55.0000	739584.393890
1.8504	-1.1931	1.4803	68.1800	55.0000	739584.393890
1.9668	-1.2351	1.6138	74.2800	55.0000	739584.393890
2.0837	-1.2730	1.7486	74.2800	55.0000	739584.393890
2.2000	-1.3109	1.8833	74.2800	55.0000	739584.393890
2.3004	-1.3434	1.9988	74.2800	55.0000	739584.393890
2.4167	-1.3814	2.1336	74.2800	55.0000	739584.393890
2.5169	-1.4139	2.2491	74.2800	55.0000	739584.393890
2.6334	-1.4518	2.3839	74.2800	55.0000	739584.393890
2.7505	-1.4897	2.5186	74.2800	55.0000	739584.393890
2.8670	-1.5390	2.6496	65.7400	55.0000	739584.393890
2.9672	-1.5906	2.7579	64.5200	55.0000	739584.393890
3.0839	-1.6508	2.8843	64.5200	55.0000	739584.393890
3.2002	-1.7110	3.0107	64.5200	55.0000	739584.393890
3.3170	-1.7654	3.1396	70.6200	55.0000	739584.393890
3.4337	-1.8004	3.2750	79.1600	55.0000	739584.393890
3.5506	-1.8141	3.3941	87.7000	55.0000	739584.393890
3.6671	-1.8141	3.3941	96.2400	55.0000	739584.393890
3.7837	-1.8141	3.3941	104.7800	55.0000	739584.393890
3.8839	-1.8141	3.3941	112.1000	55.0000	739584.393890
4.0004	-1.8141	3.3941	120.6400	55.0000	739584.393890
4.1171	-1.8015	3.4096	129.1800	55.0000	739584.393890
4.2337	-1.7042	3.5101	137.7200	55.0000	739584.393890
4.3510	-1.5931	3.5951	146.2600	55.0000	739584.393890
4.4671	-1.4706	3.6626	154.8000	55.0000	739584.393890
4.5837	-1.4706	3.6626	163.3400	55.0000	739584.393890
4.6840	-1.4706	3.6626	170.6600	55.0000	739584.393890
4.8005	-1.4706	3.6626	179.2000	55.0000	739584.393890
4.9171	-1.4706	3.6626	187.7400	55.0000	739584.393890
5.0337	-1.4706	3.6626	196.2800	55.0000	739584.393890
5.1340	-1.4706	3.6626	203.6000	55.0000	739584.393890
5.2505	-1.4706	3.6626	212.1400	55.0000	739584.393890
5.3672	-1.4554	3.6496	220.6800	55.0000	739584.393890
5.4837	-1.3512	3.5561	221.9000	55.0000	739584.393890
5.5850	-1.2611	3.4769	219.4600	55.0000	739584.393890
5.7006	-1.1459	3.3975	210.9200	55.0000	739584.393890
5.8007	-1.0401	3.3410	208.4800	55.0000	739584.393890
5.9171	-0.9886	3.3102	217.0200	55.0000	739584.393890
6.0338	-0.9886	3.3102	225.5600	55.0000	739584.393890
6.1339	-0.9886	3.3102	232.8800	55.0000	739584.393890
6.2504	-0.9360	3.2252	238.9800	55.0000	739584.393890
6.3671	-0.8638	3.1052	238.9800	55.0000	739584.393890
6.4838	-0.7917	2.9852	238.9800	55.0000	739584.393890
6.6006	-0.7195	2.8653	238.9800	55.0000	739584.393890
6.7171	-0.6530	2.7422	245.0800	55.0000	739584.393890
6.8339	-0.6051	2.6108	253.6200	55.0000	739584.393890
6.9504	-0.5772	2.4737	262.1600	55.0000	739584.393890
7.0670	-0.5699	2.3341	270.7000	55.0000	739584.393890
7.1674	-0.5803	2.2146	278.0200	55.0000	739584.393890
7.2839	-0.6116	2.0782	286.5600	55.0000	739584.393890
7.4003	-0.6627	1.9480	295.1000	55.0000	739584.393890
7.5004	-0.7215	1.8435	302.4200	55.0000	739584.393890
7.6005	-0.7932	1.7474	309.7400	55.0000	739584.393890
7.7171	-0.8827	1.6397	309.7400	55.0000	739584.393890
7.8173	-0.9594	1.5475	309.7400	55.0000	739584.393890
7.9339	-1.0489	1.4398	309.7400	55.0000	739584.393890
8.0505	-1.1384	1.3321	309.7400	55.0000	739584.393890
8.1672	-1.2279	1.2245	309.7400	55.0000	739584.393890
8.2677	-1.3046	1.1322	309.7400	55.0000	739584.393890
8.3838	-1.3941	1.0246	309.7400	55.0000	739584.393890
8.5005	-1.4855	0.9186	313.4000	55.0000	739584.393890
8.6171	-1.5899	0.8255	321.9400	55.0000	739584.393890
8.7338	-1.7070	0.7490	330.4800	55.0000	739584.393890
8.8504	-1.8341	0.6906	339.0200	55.0000	739584.393890
8.9671	-1.9685	0.6519	347.5600	55.0000	739584.393890
9.0837	-2.1072	0.6335	356.1000	55.0000	739584.393890
9.1839	-2.2271	0.6342	363.4200	55.0000	739584.393890
9.3004	-2.3655	0.6544	371.9600	55.0000	739584.393890
9.4170	-2.5002	0.6925	376.8400	55.0000	739584.393890
9.5171	-2.6150	0.7273	376.8400	55.0000	739584.393890
9.6338	-2.7489	0.7682	378.0600	55.0000	739584.393890
9.7340	-2.8598	0.8138	385.3800	55.0000	739584.393890
9.8506	-2.9806	0.8843	393.9200	55.0000	739584.393890
9.9671	-3.0897	0.9719	402.4600	55.0000	739584.393890
10.0672	-3.1719	1.0593	409.7800	55.0000	739584.393890
10.1674	-3.2423	1.1563	417.1000	55.0000	739584.393890
10.2838	-3.3080	1.2798	425.6400	55.0000	739584.393890
10.4006	-3.3546	1.4117	434.1800	55.0000	739584.393890
10.5171	-3.3824	1.5488	440.2800	55.0000	739584.393890
10.6172	-3.4027	1.6671	440.2800	55.0000	739584.393890
10.7182	-3.4229	1.7854	440.2800	55.0000	739584.393890
10.8337	-3.4466	1.9234	440.2800	55.0000	739584.393890
10.9509	-3.4702	2.0614	440.2800	55.0000	739584.393890
11.0671	-3.4938	2.1993	440.2800	55.0000	739584.393890
11.1838	-3.5175	2.3373	440.2800	55.0000	739584.393890
11.3004	-3.5411	2.4753	440.2800	55.0000	739584.393890
11.4004	-3.5614	2.5936	440.2800	55.0000	739584.393890
11.5173	-3.5732	2.7330	448.8200	55.0000	739584.393890
11.6176	-3.5667	2.8527	456.1400	55.0000	739584.393890
11.7179	-3.5450	2.9707	463.4600	55.0000	739584.393890
11.8339	-3.5010	3.1034	472.0000	55.0000	739584.393890
11.9341	-3.4491	3.2116	476.8800	55.0000	739584.393890
12.0506	-3.3869	3.3370	474.4400	55.0000	739584.393890
12.1671	-3.3401	3.4688	465.9000	55.0000	739584.393890
12.2674	-3.3159	3.5863	458.5800	55.0000	739584.393890
12.3843	-3.3065	3.7258	451.2600	55.0000	739584.393890
12.5005	-3.2945	3.8652	458.5800	55.0000	739584.393890
12.6007	-3.2678	3.9821	465.9000	55.0000	739584.393890
12.7192	-3.2182	4.1129	474.4400	55.0000	739584.393890
12.8341	-3.1497	4.2348	482.9800	55.0000	739584.393890
12.9505	-3.0639	4.3453	491.5200	55.0000	739584.393890
13.0669	-2.9626	4.4417	500.0600	55.0000	739584.393890
13.1670	-2.8651	4.5117	507.3800	55.0000	739584.393890
13.2837	-2.7413	4.5768	515.9200	55.0000	739584.393890
13.3840	-2.6289	4.6186	520.8000	55.0000	739584.393890
13.5004	-2.4967	4.6647	520.8000	55.0000	739584.393890
13.6173	-2.3645	4.7107	520.8000	55.0000	739584.393890
13.7336	-2.2356	4.7650	513.4800	55.0000	739584.393890
13.8340	-2.1282	4.8186	513.4800	55.0000	739584.393890
13.9503	-2.0211	4.8700	517.1400	55.0000	739584.393890
14.0505	-1.9849	4.8753	524.4600	55.0000	739584.393890
14.1673	-1.8674	4.8999	526.9000	55.0000	739584.393890
14.2839	-1.7314	4.9328	524.4600	55.0000	739584.393890
14.4005	-1.6003	4.9816	515.9200	55.0000	739584.393890
14.5171	-1.4758	5.0456	512.2600	55.0000	739584.393890
14.6338	-1.3519	5.1108	512.2600	55.0000	739584.393890
14.7503	-1.2280	5.1760	512.2600	55.0000	739584.393890
14.8506	-1.1230	5.2341	508.6000	55.0000	739584.393890
14.9669	-1.0100	5.3165	501.2800	55.0000	739584.393890
15.0672	-0.9164	5.3916	501.2800	55.0000	739584.393890
15.1836	-0.8071	5.4791	501.2800	55.0000	739584.393890
15.3005	-0.6979	5.5667	501.2800	55.0000	739584.393890
15.4175	-0.5887	5.6543	501.2800	55.0000	739584.393890
15.5344	-0.4794	5.7418	501.2800	55.0000	739584.393890
15.6506	-0.3702	5.8294	501.2800	55.0000	739584.393890
15.7508	-0.2766	5.9045	501.2800	55.0000	739584.393890
15.8672	-0.1674	5.9921	501.2800	55.0000	739584.393890
15.9843	-0.0581	6.0796	501.2800	55.0000	739584.393890
16.1005	0.0511	6.1672	501.2800	55.0000	739584.393890
0.1081	0.0000	0.0000	45.0000	55.0000	739584.411204
0.2147	0.0000	0.0000	45.0000	55.0000	739584.411204
0.3306	-0.0849	0.0849	45.0000	55.0000	739584.411204
0.4309	-0.1697	0.1697	45.0000	55.0000	739584.411204
0.5476	-0.2687	0.2687	45.0000	55.0000	739584.411204
0.6641	-0.3674	0.3680	46.2200	55.0000	739584.411204
