T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1283	0.0000	0.0000	45.0000	55.0000	739696.710641
0.2451	0.0000	0.0000	45.0000	55.0000	739696.710641
0.3619	0.0000	0.0000	45.0000	55.0000	739696.710641
0.4792	0.0000	0.0000	45.0000	55.0000	739696.710641
0.5794	0.0000	0.0000	45.0000	55.0000	739696.710641
0.6953	0.0000	0.0000	45.0000	55.0000	739696.710641
0.7955	0.0000	0.0000	45.0000	55.0000	739696.710641
0.8963	0.0000	0.0000	45.0000	55.0000	739696.710641
1.0126	0.0000	0.0000	45.0000	55.0000	739696.710641
1.1291	0.0000	0.0000	45.0000	55.0000	739696.710641
1.2297	0.0000	0.0000	45.0000	55.0000	739696.710641
1.3460	0.0000	0.0000	45.0000	55.0000	739696.710641
1.4625	0.0000	0.0000	45.0000	55.0000	739696.710641
1.5630	0.0000	0.0000	45.0000	55.0000	739696.710641
1.6793	0.0000	0.0000	45.0000	55.0000	739696.710641
1.7799	0.0000	0.0000	45.0000	55.0000	739696.710641
1.8971	0.0000	0.0000	45.0000	55.0000	739696.710641
2.0132	0.0000	0.0000	45.0000	55.0000	739696.710641
2.1133	0.0000	0.0000	45.0000	55.0000	739696.710641
2.2298	-0.0990	0.0990	45.0000	55.0000	739696.710641
2.3299	-0.1838	0.1838	45.0000	55.0000	739696.710641
2.4471	-0.2828	0.2828	45.0000	55.0000	739696.710641
2.5637	-0.3818	0.3818	45.0000	55.0000	739696.710641
2.6639	-0.4667	0.4667	45.0000	55.0000	739696.710641
2.7640	-0.5515	0.5515	45.0000	55.0000	739696.710641
2.8640	-0.6364	0.6364	45.0000	55.0000	739696.710641
2.9642	-0.6791	0.6785	40.1200	55.0000	739696.710641
3.0650	-0.6791	0.6785	32.8000	55.0000	739696.710641
3.1652	-0.6791	0.6785	25.4800	55.0000	739696.710641
3.2808	-0.6791	0.6785	16.9400	55.0000	739696.710641
3.3817	-0.6791	0.6785	9.6200	55.0000	739696.710641
3.4979	-0.6991	0.6789	1.0800	55.0000	739696.710641
3.5980	-0.8191	0.6812	1.0800	55.0000	739696.710641
3.6981	-0.9391	0.6834	1.0800	55.0000	739696.710641
3.7982	-1.0591	0.6857	1.0800	55.0000	739696.710641
3.9150	-1.1990	0.6883	1.0800	55.0000	739696.710641
4.0151	-1.3190	0.6906	1.0800	55.0000	739696.710641
4.1319	-1.4590	0.6932	1.0800	55.0000	739696.710641
4.2482	-1.5990	0.6959	1.0800	55.0000	739696.710641
4.3485	-1.7189	0.6981	1.0800	55.0000	739696.710641
4.4488	-1.8389	0.7004	1.0800	55.0000	739696.710641
4.5491	-1.9589	0.7026	1.0800	55.0000	739696.710641
4.6496	-2.0789	0.7049	1.0800	55.0000	739696.710641
4.7659	-2.2188	0.7088	3.5200	55.0000	739696.710641
4.8821	-2.2586	0.7126	12.0600	55.0000	739696.710641
4.9827	-2.2586	0.7126	19.3800	55.0000	739696.710641
5.0992	-2.2586	0.7126	27.9200	55.0000	739696.710641
5.1993	-2.2586	0.7126	35.2400	55.0000	739696.710641
5.2996	-2.2586	0.7126	42.5600	55.0000	739696.710641
5.4160	-2.2586	0.7126	51.1000	55.0000	739696.710641
5.5161	-2.2586	0.7126	54.7600	55.0000	739696.710641
5.6331	-2.2586	0.7126	57.2000	55.0000	739696.710641
5.7333	-2.2586	0.7126	62.0800	55.0000	739696.710641
