T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1030	0.0000	0.0000	45.0000	55.0000	739316.450599
0.2034	0.0000	0.0000	45.0000	55.0000	739316.450599
0.3196	0.0000	0.0000	45.0000	55.0000	739316.450599
0.4369	0.0000	0.0000	45.0000	55.0000	739316.450599
0.5529	0.0000	0.0000	45.0000	55.0000	739316.450599
0.6697	0.0000	0.0000	45.0000	55.0000	739316.450599
0.7861	-0.0530	0.0530	45.0000	55.0000	739316.450599
0.8863	-0.3712	0.3712	45.0000	55.0000	739316.450599
0.9869	-0.4243	0.4243	33.0000	55.0000	739316.450599
1.1029	-0.4243	0.4243	12.0000	55.0000	739316.450599
1.2198	-0.4243	0.4243	3.0000	55.0000	739316.450599
1.3217	-0.7239	0.4400	3.0000	55.0000	739316.450599
1.4364	-1.2481	0.4674	3.0000	55.0000	739316.450599
1.5366	-1.6975	0.4910	3.0000	55.0000	739316.450599
1.6531	-2.2218	0.5185	3.0000	55.0000	739316.450599
1.7532	-2.6712	0.5420	3.0000	55.0000	739316.450599
1.8696	-3.1955	0.5695	3.0000	55.0000	739316.450599
1.9698	-3.6448	0.5930	3.0000	55.0000	739316.450599
2.0862	-4.1691	0.6205	3.0000	55.0000	739316.450599
2.2029	-4.6934	0.6480	3.0000	55.0000	739316.450599
2.3196	-5.2174	0.6794	6.0000	55.0000	739316.450599
2.4362	-5.2174	0.6794	27.0000	55.0000	739316.450599
2.5366	-5.2174	0.6794	45.0000	55.0000	739316.450599
2.6530	-5.2174	0.6794	66.0000	55.0000	739316.450599
2.7531	-5.2980	0.8894	69.0000	55.0000	739316.450599
2.8697	-5.4862	1.3796	69.0000	55.0000	739316.450599
2.9698	-5.6250	1.8068	78.0000	55.0000	739316.450599
3.0699	-5.6445	1.9554	96.0000	55.0000	739316.450599
3.1864	-5.6445	1.9554	117.0000	55.0000	739316.450599
3.3030	-5.6445	1.9554	138.0000	55.0000	739316.450599
3.4196	-5.6445	1.9554	141.0000	55.0000	739316.450599
3.5196	-5.6445	1.9554	141.0000	55.0000	739316.450599
3.6198	-5.5863	2.0026	141.0000	55.0000	739316.450599
3.7362	-5.2948	2.2386	141.0000	55.0000	739316.450599
3.8531	-5.2948	2.2386	156.0000	55.0000	739316.450599
3.9696	-5.2948	2.2386	177.0000	55.0000	739316.450599
4.0697	-5.2202	2.2308	186.0000	55.0000	739316.450599
4.1863	-4.6981	2.1759	186.0000	55.0000	739316.450599
4.2864	-4.2501	2.1876	171.0000	55.0000	739316.450599
4.4030	-3.8276	2.3373	150.0000	55.0000	739316.450599
4.5197	-3.8276	2.3373	150.0000	55.0000	739316.450599
4.6206	-3.8276	2.3373	150.0000	55.0000	739316.450599
4.7363	-3.8276	2.3373	141.0000	55.0000	739316.450599
4.8364	-3.8276	2.3373	123.0000	55.0000	739316.450599
4.9529	-3.7580	2.5512	108.0000	55.0000	739316.450599
5.0700	-3.5958	3.0505	108.0000	55.0000	739316.450599
5.1862	-3.4336	3.5499	108.0000	55.0000	739316.450599
5.2863	-3.2726	3.9692	117.0000	55.0000	739316.450599
5.3864	-3.0528	4.2718	135.0000	55.0000	739316.450599
5.5031	-3.0528	4.2718	156.0000	55.0000	739316.450599
5.6196	-3.0528	4.2718	177.0000	55.0000	739316.450599
5.7363	-3.0528	4.2718	198.0000	55.0000	739316.450599
5.8530	-3.0528	4.2718	219.0000	55.0000	739316.450599
5.9698	-3.0528	4.2718	222.0000	55.0000	739316.450599
6.0863	-2.9843	4.2412	204.0000	55.0000	739316.450599
6.2030	-2.4807	4.0941	195.0000	55.0000	739316.450599
6.3032	-2.0460	3.9777	195.0000	55.0000	739316.450599
6.4196	-1.5389	3.8418	195.0000	55.0000	739316.450599
6.5362	-1.0318	3.7059	195.0000	55.0000	739316.450599
6.6363	-0.5900	3.6280	183.0000	55.0000	739316.450599
6.7530	-0.5150	3.6280	162.0000	55.0000	739316.450599
6.8531	-0.5150	3.6280	144.0000	55.0000	739316.450599
6.9695	-0.5150	3.6280	123.0000	55.0000	739316.450599
7.0866	-0.5150	3.6280	102.0000	55.0000	739316.450599
7.2029	-0.5150	3.6280	84.0000	55.0000	739316.450599
7.3196	-0.5150	3.6280	84.0000	55.0000	739316.450599
7.4201	-0.5150	3.6280	84.0000	55.0000	739316.450599
7.5362	-0.5699	4.1501	84.0000	55.0000	739316.450599
7.6362	-0.6052	4.5984	90.0000	55.0000	739316.450599
7.7530	-0.5235	5.0391	111.0000	55.0000	739316.450599
7.8695	-0.5235	5.0391	129.0000	55.0000	739316.450599
7.9696	-0.5235	5.0391	129.0000	55.0000	739316.450599
8.0862	-0.3347	5.2722	129.0000	55.0000	739316.450599
8.1866	-0.3347	5.2722	114.0000	55.0000	739316.450599
8.3028	-0.3347	5.2722	105.0000	55.0000	739316.450599
8.4030	-0.3347	5.2722	105.0000	55.0000	739316.450599
8.5196	-0.3347	5.2722	111.0000	55.0000	739316.450599
8.6196	-0.2938	5.3351	123.0000	55.0000	739316.450599
8.7366	-0.0079	5.7754	123.0000	55.0000	739316.450599
